snake_sub_family,higher_snake_family,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
Acalyptophis peronii,Acalyptophis,"0.33 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Aipysurus duboisii,Aipysurus,"0.43 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Aipysurus eydouxii,Aipysurus,"0.48 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Aipysurus foliosquama,Aipysurus,"0.48 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Aipysurus laevis,Aipysurus,"10.45 mg ( dry weight ), Limpus (1978) ( Ref : R00076 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Astrotia stokesii,Astrotia,"31.30 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis major,Hydrophis,"22.80 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Emydocephalus annulatus,Emydocephalus,"0.15 mg ( dry weight ), Minton  (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Enhydrina schistosa,Enhydrina,"7 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"0.164 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone P. and Chou L. M. (1990)  ( Ref : R000004 ).",1
Hydrophis brookii,Hydrophis,"1.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis cyanocinctus,Hydrophis,"8.20 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,"1.24 mg / kg route unspecified, Heatwole (1999) ( Ref : R000523 ).",1
Hydrophis elegans,Hydrophis,"8.91 mg ( dry weight ), Limpus (1978) ( Ref : R000476 ) and Limpus (1978) ( Ref : R000477 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis klossi,Hydrophis,"1.00 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis ornatus,Hydrophis,"8.3 mg ( dry weight ), Tamiya and Puffer (1974) ( Ref : R000012 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis spiralis,Hydrophis,"2.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis jerdonii,Hydrophis,"2.80 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Lapemis curtus,Lapemis,"3.80 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Lapemis hardwickii,Lapemis,"1.9 mg ( dry weight ), Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Pelamis platurus,Pelamis,"0.25 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Laticauda colubrina,Laticauda,"10.6 mg ( dry weight ), Singh and Guinea (1984) ( Ref : R000527 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Laticauda semifasciata,Laticauda,"14 mg ( dry weight ), Brown (1973) ( Ref : R000681 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis melanocephalus,Hydrophis,"0.13 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Hydrophis coggeri,Hydrophis,"0.48 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Boiga irregularis,Boiga,"6.7 mg ( n= 19, dry weight ), Weinstein et al (1991) ( Ref : R000660 ).",Not present,Not present,Not present,Not present,Not present,Not present,Possibly present,Not present,Not present,,1
Micrurus altirostris,Micrurus,"8 to 10 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Micrurus tener,Micrurus,"M. t. tener : 10 to 12 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
Bungarus bungaroides,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus candidus,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus ceylonicus,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus flaviceps,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,,,1
Bungarus lividus,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus magnimaculatus,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus niger,Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Bungarus sindanus ( = walli ),Bungarus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
Calliophis beddomei,Calliophis,,,,,,,,,,,,1
Calliophis bibroni,Calliophis,,,,,,,,,,,,1
Calliophis calligaster,Calliophis,,,,,,,,,,,,1
Calliophis gracilis,Calliophis,,,,,,,,,,,,1
Hemibungarus japonicus,Hemibungarus,,,,,,,,,,,,1
Sinomicrurus kelloggi,Sinomicrurus,,,,,,,,,,,,1
Sinomicrurus macclellandi,Sinomicrurus,,,,,,,,,,,,1
Calliophis maculiceps,Calliophis,,,,,,,,,,,,1
Calliophis melanurus,Calliophis,,,,,,,,,,,,1
Calliophis nigrescens,Calliophis,,,,,,,,,,,,1
Hemibungarus sauteri,Hemibungarus,,,,,,,,,,,,1
Calliophis bivirgata,Calliophis,,,,,,,,,,,,1
Calliophis intestinalis,Calliophis,,,,,,,,,,,,1
Naja kaouthia,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja philippinensis,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja samarensis,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja siamensis,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja sputatrix,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Naja sumatrana,Naja,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
Walterinnesia aegyptia,Walterinnesia,,Not present,Not present,Not present,Probably not present,Probably not present,Not present,Postsynaptic neurotoxins,,Not present,,1
Eristocophis mcmahoni,Eristocophis,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,,Possibly present,,1
Gloydius blomhoffii,Gloydius,,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,,1
Gloydius brevicaudus,Gloydius,,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,,1
Gloydius halys,Gloydius,,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Prothrombin convertors,,1
Gloydius himalayanus,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,1
Gloydius saxatilis,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Mixture of procoagulants,,1
Gloydius shedaoensis,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Possibly present,,1
Gloydius ussuriensis,Gloydius,,Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Possibly present,Probably not present,Possibly present,,Mixture of procoagulants,,1
Gloydius monticola,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,1
Gloydius strauchi,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,1
Protobothrops mangshanensis,Protobothrops,,,,,,,,,,,,1
Gloydius intermedius,Gloydius,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,1
Aspidelaps lubricus,Aspidelaps,,,,,,,,,,,,1
Aspidelaps scutatus,Aspidelaps,,,,,,,,,,,,1
Naja annulata,Naja,,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Naja christyi,Naja,,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
Dendroaspis jamesoni,Dendroaspis,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,1
Dendroaspis polylepis,Dendroaspis,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,1
Dendroaspis viridis,Dendroaspis,,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,,1
Elapsoidea chelazziorum,Elapsoidea,,,,,,,,,,,,1
