week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
14,TV Show,Freud,Austria,Drama,2020-03-15,True,67,50,AUT,https://flixpatrol.com/title/freud,EUR,2020,3
13,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73,0,AUT,https://flixpatrol.com/title/the-platform,EUR,2020,3
13,TV Show,Freud,Austria,Drama,2020-03-15,True,67,50,AUT,https://flixpatrol.com/title/freud,EUR,2020,3
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55,50,GRE,https://flixpatrol.com/title/love-guaranteed,EUR,2020,9
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88,94,GRE,https://flixpatrol.com/title/cobra-kai,EUR,2018,5
36,Short,The Boss Baby: Get That Baby!,USA,Animated,2020-09-01,False,0,0,GRE,https://flixpatrol.com/title/the-boss-baby-get-that-baby,EUR,2020,9
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88,94,GRE,https://flixpatrol.com/title/cobra-kai,EUR,2018,5
35,Movie,Project Power,USA,Action,2020-08-14,True,61,63,GRE,https://flixpatrol.com/title/project-power,EUR,2020,8
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,GRE,https://flixpatrol.com/title/lucifer,EUR,2016,1
34,Movie,Project Power,USA,Action,2020-08-14,True,61,63,GRE,https://flixpatrol.com/title/project-power,EUR,2020,8
34,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83,100,GRE,https://flixpatrol.com/title/locked-up,EUR,2015,4
33,Movie,Work It,USA,Comedy,2020-08-07,True,61,0,GRE,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83,100,GRE,https://flixpatrol.com/title/locked-up,EUR,2015,4
32,Movie,Johnny English Strikes Again,United Kingdom,Comedy,2018-09-13,False,66,34,GRE,https://flixpatrol.com/title/johnny-english-3,EUR,2018,9
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83,100,GRE,https://flixpatrol.com/title/locked-up,EUR,2015,4
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,GRE,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75,0,GRE,https://flixpatrol.com/title/dark-desire,EUR,2020,7
30,Movie,MILF,France,Comedy,2018-05-02,False,0,14,GRE,https://flixpatrol.com/title/milf-2018,EUR,2018,5
